id,surface,text,value,unit,dateShown,datasetField,source,traceability,reproduction,witnesses,wording
C001,/,measured: of Apple’s last dividend never arrived,36%,,14 Aug 2026 · priced at the instant of the step,reconciliations.observed.json rows[AAPL matched].impliedHaircutBps=3601,scripts/build-reconciliations.mjs; getRoundData(18446744073709552078) on 0x6B22…cD0,traced,reproduced by hand: 3601.81 bps -> 3601 (floor) / 3602 (round); received 0.172751,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; Chainlink directory refetched 2026-09-05T19:55Z; round read from the aggregator",holds; S4 price stored at 4 dp (F08)
C002,/,measured: of transfers outside US market hours,74.3%,,59 samples · 3–5 September 2026 · the figure to check was 46%,"session-share.observed.json transferShare.offHours=0.7433, sampleCount=61",scripts/measure-session-share.mjs (hourly),"traced; the live page shows the previous hour (74.1 %, 60 samples) - F11","recomputed 0.7433 from the 61 samples, hour-weighted; classifier agrees on 61/61",single collector; chain reads not re-run (windows are past),holds; sample and dates stated
C003,/,"measured: tokens created net, 23 h","+2,685,113",,188 tokens · to 5 Sept 2026,"primary-flows.observed.json windows[-1] netCreated=2685113.24, mints=3203, burns=513",scripts/measure-primary-flows.mjs (daily),traced,recomputed: minted - burned = net; windows contiguous,single collector run; not re-read from chain,holds
C004,/,dividend row: Apple   AAPL,13 Aug 2026 | $0.27 | $0.17 | 36 %,,,reconciliations.observed.json rows[AAPL matched].impliedHaircutBps=3601,scripts/build-reconciliations.mjs; getRoundData(18446744073709552078) on 0x6B22…cD0,traced,reproduced by hand: 3601.81 bps -> 3601 (floor) / 3602 (round); received 0.172751,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; Chainlink directory refetched 2026-09-05T19:55Z; round read from the aggregator",holds; S4 price stored at 4 dp (F08)
C005,/,dividend row: iShares 0-3 Month Treasury Bond   SGOV,6 Aug 2026 | $0.31 | $0.20 | 34 %,,,reconciliations rows[SGOV 2026-08-07].impliedHaircutBps=3378,scripts/build-reconciliations.mjs; round 18446744073709551646 on 0xa0DF…A11,traced,reproduced by hand: 3378.13 bps -> 3378; received 0.203167,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; Chainlink directory refetched 2026-09-05T19:55Z; round read from the aggregator",holds
C006,/,dividend row: Ford Motor   F,1 Sept 2026 | $0.15 | — | no price feed,,,"reconciliations rows[F/CCL/COST] status=anomaly, price absent",scripts/build-reconciliations.mjs,traced,"reproduced: no feed, no quote at effect -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record (effective-prices)","holds ('no price feed', no figure)"
C007,/,dividend row: Carnival Corporation   CCL,28 Aug 2026 | $0.15 | — | no price feed,,,"reconciliations rows[F/CCL/COST] status=anomaly, price absent",scripts/build-reconciliations.mjs,traced,"reproduced: no feed, no quote at effect -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record (effective-prices)","holds ('no price feed', no figure)"
C008,/,dividend row: Costco   COST,7 Aug 2026 | $1.47 | — | no price feed,,,"reconciliations rows[F/CCL/COST] status=anomaly, price absent",scripts/build-reconciliations.mjs,traced,"reproduced: no feed, no quote at effect -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record (effective-prices)","holds ('no price feed', no figure)"
C009,/,dividend row: ASML Holding NV   ASML,5 Aug 2026 | $1.82 | $0.17 | doesn’t add up,,,reconciliations rows[ASML].impliedHaircutBps=9037 (anomaly),scripts/build-reconciliations.mjs,traced,"reproduced: 9037 bps, outside [-100, 5000] -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only","holds ('doesn't add up', no figure shown)"
C010,/,ring figcaption,36 %  of  Apple ’s last dividend never arrived on chain. Declared $ 0.27  · Arrived $ 0.17  ·  14 August 2026,,,reconciliations.observed.json rows[AAPL matched].impliedHaircutBps=3601,scripts/build-reconciliations.mjs; getRoundData(18446744073709552078) on 0x6B22…cD0,traced,reproduced by hand: 3601.81 bps -> 3601 (floor) / 3602 (round); received 0.172751,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; Chainlink directory refetched 2026-09-05T19:55Z; round read from the aggregator",holds; S4 price stored at 4 dp (F08)
C011,/dividends/,"stat: declared, not on chain",37,,35 tokens,reconciliations summary.pending=37,scripts/build-reconciliations.mjs,traced; INCOMPLETE: VRT 09-24 and AVGO 09-30 absent (F02); API says 38,recounted 37 from the file,issuer API refetched 2026-09-05T19:55Z,S3: undercount not declared (F02)
C012,/dividends/,stat: the issuer calls paid,7,,oldest 31 days,reconciliations rows pending & actionStatus=COMPLETED (7),,traced,recounted 7,issuer API refetched 2026-09-05T19:55Z,holds
C013,/dividends/,stat: landed on chain,12,,since 2 Jul 2026,multiplier-events.observed.json 12 distinct changes,,traced; INCOMPLETE: UPS 2026-09-04 missing (F01),rescan in a clean clone finds 14 logs / 13 changes,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only","S0: 13 landed, page says 12 (F01)"
C014,/dividends/,stat: measured cleanly,2,,10 cannot be,"reconciliations matched=2, anomaly+unmatched=10",,traced,recounted 2 / 10,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C015,/dividends/,stat: warning before a change,~10 min,,11 of 12 within 10 min,multiplier-events leadMinutes,,traced,"recomputed: median 9.6 min, 11 of 12 within 10 min","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C016,/dividends/,stat: after the issuer’s date,1 day,,6 datable cases,reconciliations change.lagDays on 6 datable rows,,traced,"recomputed: lags 1,1,3,1,3,1 -> median 1 day, 4 of 6 at 1 day",issuer API refetched 2026-09-05T19:55Z,holds
C017,/dividends/,coming rows,37,,,reconciliations summary.pending=37,scripts/build-reconciliations.mjs,traced; INCOMPLETE: VRT 09-24 and AVGO 09-30 absent (F02); API says 38,recounted 37 from the file,issuer API refetched 2026-09-05T19:55Z,S3: undercount not declared (F02)
C018,/dividends/,landed rows,12,,,multiplier-events.observed.json 12 distinct changes,,traced; INCOMPLETE: UPS 2026-09-04 missing (F01),rescan in a clean clone finds 14 logs / 13 changes,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only","S0: 13 landed, page says 12 (F01)"
C019,/dividends/,landed row: Ford Motor   F,2 Sept 2026 +0.015% | $0.1500 | — | no price feed,,,"reconciliations rows[F/CCL/COST] status=anomaly, price absent",scripts/build-reconciliations.mjs,traced,"reproduced: no feed, no quote at effect -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record (effective-prices)","holds ('no price feed', no figure)"
C020,/dividends/,landed row: iShares 0-3 Month Treasury Bond   SGOV,1 Sept 2026 +0.211% | — | — | nothing declared,,,reconciliations rows status=unmatched,,traced,reproduced: no issuer row inside the 4-day window,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds ('nothing declared'; July loss is known gap 1.6)
C021,/dividends/,landed row: Carnival Corporation   CCL,31 Aug 2026 +2.149% | $0.1500 | — | no price feed,,,"reconciliations rows[F/CCL/COST] status=anomaly, price absent",scripts/build-reconciliations.mjs,traced,"reproduced: no feed, no quote at effect -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record (effective-prices)","holds ('no price feed', no figure)"
C022,/dividends/,landed row: Apple   AAPL,14 Aug 2026 +0.057% | $0.2700 | $0.1728 | 36 %,,,reconciliations.observed.json rows[AAPL matched].impliedHaircutBps=3601,scripts/build-reconciliations.mjs; getRoundData(18446744073709552078) on 0x6B22…cD0,traced,reproduced by hand: 3601.81 bps -> 3601 (floor) / 3602 (round); received 0.172751,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; Chainlink directory refetched 2026-09-05T19:55Z; round read from the aggregator",holds; S4 price stored at 4 dp (F08)
C023,/dividends/,landed row: Costco   COST,10 Aug 2026 +0.061% | $1.4700 | — | no price feed,,,"reconciliations rows[F/CCL/COST] status=anomaly, price absent",scripts/build-reconciliations.mjs,traced,"reproduced: no feed, no quote at effect -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record (effective-prices)","holds ('no price feed', no figure)"
C024,/dividends/,landed row: iShares 0-3 Month Treasury Bond   SGOV,7 Aug 2026 +0.202% | $0.3068 | $0.2032 | 34 %,,,reconciliations rows[SGOV 2026-08-07].impliedHaircutBps=3378,scripts/build-reconciliations.mjs; round 18446744073709551646 on 0xa0DF…A11,traced,reproduced by hand: 3378.13 bps -> 3378; received 0.203167,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; Chainlink directory refetched 2026-09-05T19:55Z; round read from the aggregator",holds
C025,/dividends/,landed row: ASML Holding NV   ASML,6 Aug 2026 +0.010% | $1.8171 | $0.1749 | doesn’t add up,,,reconciliations rows[ASML].impliedHaircutBps=9037 (anomaly),scripts/build-reconciliations.mjs,traced,"reproduced: 9037 bps, outside [-100, 5000] -> anomaly","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only","holds ('doesn't add up', no figure shown)"
C026,/dividends/,landed row: Dell   DELL,3 Aug 2026 +0.006% | — | — | nothing declared,,,reconciliations rows status=unmatched,,traced,reproduced: no issuer row inside the 4-day window,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds ('nothing declared'; July loss is known gap 1.6)
C027,/dividends/,landed row: Oracle   ORCL,27 Jul 2026 +0.221% | — | — | nothing declared,,,reconciliations rows status=unmatched,,traced,reproduced: no issuer row inside the 4-day window,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds ('nothing declared'; July loss is known gap 1.6)
C028,/dividends/,landed row: Micron Technology   MU,24 Jul 2026 +0.007% | — | — | nothing declared,,,reconciliations rows status=unmatched,,traced,reproduced: no issuer row inside the 4-day window,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds ('nothing declared'; July loss is known gap 1.6)
C029,/dividends/,landed row: iShares 0-3 Month Treasury Bond   SGOV,8 Jul 2026 +0.096% | — | — | nothing declared,,,reconciliations rows status=unmatched,,traced,reproduced: no issuer row inside the 4-day window,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds ('nothing declared'; July loss is known gap 1.6)
C030,/dividends/,landed row: CrowdStrike Holdings   CRWD,2 Jul 2026 ×4 split | — | — | nothing declared,,,reconciliations rows status=unmatched,,traced,reproduced: no issuer row inside the 4-day window,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds ('nothing declared'; July loss is known gap 1.6)
C031,/market/,"stat: median gap, traded vs oracle",46 bps,,26 tokens,dex-feed-gap.observed.json summary (17:26 reading on the live page; 18:30 in the record),scripts/measure-dex-feed-gap.mjs (hourly),traced to the 17:26 reading; record moved to 18:30 (F11),"summary medians recomputed from rows: 46.88 bps, 248.39 max, 83907 s",single instant read; not re-read,holds; date and n stated
C032,/market/,stat: widest gap,235 bps,,"SNDK · pool $52,132",dex-feed-gap.observed.json summary (17:26 reading on the live page; 18:30 in the record),scripts/measure-dex-feed-gap.mjs (hourly),traced to the 17:26 reading; record moved to 18:30 (F11),"summary medians recomputed from rows: 46.88 bps, 248.39 max, 83907 s",single instant read; not re-read,holds; date and n stated
C033,/market/,stat: median oracle age,22 h 15 min,,7 past the 24 h heartbeat,dex-feed-gap.observed.json summary (17:26 reading on the live page; 18:30 in the record),scripts/measure-dex-feed-gap.mjs (hourly),traced to the 17:26 reading; record moved to 18:30 (F11),"summary medians recomputed from rows: 46.88 bps, 248.39 max, 83907 s",single instant read; not re-read,holds; date and n stated
C034,/market/,stat: tokens trade with no oracle,41,,of 67 with a liquid pool,dex-feed-gap.observed.json summary (17:26 reading on the live page; 18:30 in the record),scripts/measure-dex-feed-gap.mjs (hourly),traced to the 17:26 reading; record moved to 18:30 (F11),"summary medians recomputed from rows: 46.88 bps, 248.39 max, 83907 s",single instant read; not re-read,holds; date and n stated
